geo,excess_mortality,pop,ratio
FI1C,-139.60000000000008,1152719,-12.110497007510077
FI1D,-129.00000000000006,1284638,-10.041739384947359
FI2,-12.2,29789,-40.95471482762093
FI20,-12.2,29789,-40.95471482762093
FR,23090.0,67012883,34.45606123228574
FR1,10831.6,12244807,88.45872376755305
FR10,10833.199999999999,12244807,88.47179053128399
FRB,589.1999999999998,2565258,22.968449957080335
FRB0,589.5999999999999,2565258,22.98404293057462
FRC,1100.2,2793333,39.386639544945055
FRC1,407.00000000000006,1619728,25.12767575790504
FRC2,693.4000000000001,1173605,59.08291120095774
FRD,510.80000000000007,3313340,15.416467974913532
FRD1,96.20000000000005,1464500,6.568794810515538
FRD2,414.80000000000007,1848840,22.435689405248702
FRE,1962.6,5977437,32.83347026493127
FRE1,585.3999999999999,4052299,14.4461205848828
FRE2,1377.9999999999995,1925138,71.57928418638039
FRF,4628.200000000001,5525291,83.76391397303782
FRF1,2455.2,1894144,129.6205568320043
FRF2,445.20000000000005,1314964,33.85644017630901
FRF3,1728.2,2316183,74.61413886553869
FRG,625.4,3787400,16.5126471986059
FRG0,625.4,3787400,16.5126471986059
FRH,111.20000000000027,3333720,3.335613068884018
FRH0,112.20000000000027,3333720,3.3656095892876507
FRI,-524.1999999999996,5986318,-8.75663471268983
FRI1,-237.9999999999999,3450045,-6.898460744714921
FRI2,-229.59999999999988,729981,-31.452873430952298
FRI3,-55.599999999999966,1806292,-3.0781291175513132
FRJ,19.39999999999975,5899209,0.32885764854236815
FRJ1,307.5999999999999,2838966,10.834930745912418
FRJ2,-287.19999999999976,3060243,-9.384875645496118
FRK,2187.8,8005882,27.327407523618263
FRK1,-320.39999999999986,1362576,-23.514284707788764
FRK2,2509.4000000000005,6643306,37.77336163651051
FRL,486.20000000000005,5048405,9.630764568215112
FRL0,486.20000000000005,5048405,9.630764568215112
FRM,53.800000000000004,341554,15.751535628334029
FRM0,54.2,341554,15.868647417392273
FRY,507.79999999999995,2190929,23.177382744945177
FRY1,159.39999999999998,416474,38.27369775784322
FRY2,72.6,363484,19.973368841544605
FRY3,-18.199999999999996,283539,-6.4188700672570596
FRY4,139.0,857961,16.201202618767052
FRY5,154.99999999999997,269471,57.52010420416296
HR,-1511.6000000000004,4076246,-37.08313973199852
HR0,-1511.6000000000004,4076246,-37.08313973199852
HU,-2932.7999999999997,9772756,-30.009958296308636
HU1,-287.19999999999993,3031160,-9.474920492484722
HU11,-16.40000000000009,1752286,-0.9359202778541911
HU12,-270.79999999999995,1278874,-21.17487727485272
HU2,-742.0000000000002,2927175,-25.348672354744767
HU21,-117.00000000000003,1058236,-11.056134926424733
HU22,-225.60000000000002,989343,-22.803011695640443
HU23,-399.4,879596,-45.40720967353194
HU3,-1653.2000000000003,3814421,-43.340784879277884
HU31,-693.0000000000001,1126360,-61.52562235874854
HU32,-390.2,1450960,-26.89254011137454
HU33,-569.9999999999999,1237101,-46.0754619065056
HUX,0.0,0,
HUXX,0.0,0,
IS,12.599999999999987,356991,3.5295007437162247
IS0,12.599999999999987,356991,3.5295007437162247
IS00,12.599999999999987,356991,3.5295007437162247
IT,42267.6,60359546,70.02637163639368
ITC,32970.200000000004,16093286,204.8692852410627
ITC1,4803.6,4356406,110.26520485005301
ITC2,120.0,125666,95.49122276510751
ITC3,1610.6000000000004,1550640,103.86679048650883
ITC4,26435.999999999996,10060574,262.7683072556297
ITF,820.5999999999999,13957942,5.879090198254154
ITF1,259.39999999999986,1311580,19.777672730599722
ITF2,-32.000000000000014,305617,-10.470621725885673
ITF3,-590.0,5801692,-10.169447119909158
ITF4,1205.2,4029053,29.912736317938734
ITF5,-10.199999999999989,562869,-1.812144566497709
ITF6,-11.799999999999898,1947131,-0.6060198312286075
ITG,-478.39999999999986,6639482,-7.205381383668181
ITG1,-715.8000000000002,4999891,-14.316312095603688
ITG2,237.39999999999998,1639591,14.479220732487551
ITH,8418.600000000002,11652827,72.24512987277681
ITH1,503.00000000000017,531178,94.69518692415728
ITH2,618.9999999999999,541098,114.39702235084955
ITH3,2081.3999999999996,4905854,42.42686390585614
ITH4,146.8000000000001,1215220,12.080117180428243
ITH5,5068.399999999999,4459477,113.65458326166944
ITI,536.599999999999,12016009,4.465709038666657
ITI1,301.80000000000007,3729641,8.09193163631567
ITI2,-137.99999999999997,882015,-15.645992415094979
ITI3,1078.6,1525271,70.71530239544316
ITI4,-705.7999999999995,5879082,-12.005275653579922
LI,2.6000000000000005,38378,6.774714680285581
LI0,2.6000000000000005,38378,6.774714680285581
LI00,2.6000000000000005,38378,6.774714680285581
LT,-945.4000000000004,2794184,-33.834564939173674
LT0,-945.4000000000004,2794184,-33.834564939173674
LT01,-106.19999999999999,810538,-13.10240852372128
LT02,-839.2,1983646,-42.30593563569307
LU,36.2,613894,5.8967834837936195
LU0,36.2,613894,5.8967834837936195
LU00,36.2,613894,5.8967834837936195
LV,-972.8000000000001,1919968,-50.66751112518543
LV0,-1039.8000000000002,1919968,-54.15715261921033
LV00,-1039.8000000000002,1919968,-54.15715261921033
ME,-168.39999999999992,622182,-27.066035340141617
ME0,-168.39999999999992,622182,-27.066035340141617
ME00,-168.39999999999992,622182,-27.066035340141617
MT,71.80000000000001,493559,14.547399601668697
MT0,84.80000000000001,493559,17.181329891664422
MT00,84.80000000000001,493559,17.181329891664422
NL,8083.799999999999,17282163,46.77539495490234
NL1,-37.25,1723829,-2.160887187766304
NL11,-63.25,583990,-10.830664908645696
NL12,2.25,647672,0.34739806568757026
NL13,23.75,492167,4.825597815375676
NL2,1622.75,3644949,44.520513181391564
NL21,473.0,1156431,40.90170533304624
NL22,1040.5,2071972,50.21786008691237
NL23,109.25,416546,26.227595511660176
NL3,2717.25,8252442,32.92661735762578
NL31,655.0,1306912,50.118141083714896
NL32,814.5,2853359,28.54530397331706
NL33,1147.25,3709139,30.93035877059339
NL34,100.5,383032,26.23801666701477
NL4,3667.5,3660943,100.17910685853344
NL41,2269.5,2544806,89.18165078202425
NL42,1398.0,1116137,125.25344110982792
NO,-438.60000000000036,5328212,-8.231654446181953
NO0,-438.60000000000036,5328212,-8.231654446181953
NO01,-33.20000000000002,1305122,-2.54382348929832
NO02,-109.39999999999999,386951,-28.272313548743895
NO03,-16.80000000000004,1005070,-1.6715253663923948
NO04,-27.799999999999997,780898,-3.560003995400167
NO05,-118.0,901689,-13.086552015162654
NO06,-61.4,462032,-13.289122831319043
NO07,-71.99999999999999,486450,-14.80111008325624
PL,1650.3999999999996,37972812,4.346267534782517
PL2,634.9999999999998,7849543,8.089642925709175
PL21,211.5999999999999,3360545,6.296597724476236
PL22,423.4000000000002,4488998,9.43194895609221
PL4,414.2000000000005,6151984,6.732787341449531
PL41,103.60000000000002,3473172,2.9828640792912076
PL42,285.39999999999986,1675502,17.03370094455273
PL43,25.200000000000045,1003310,2.5116863182864764
PL5,88.99999999999955,3811110,2.335277648768982
PL51,139.39999999999998,2865072,4.865497271970826
PL52,-50.39999999999992,946038,-5.32748155993733
PL6,293.20000000000005,5764951,5.0859061941723365
PL61,221.79999999999995,2055433,10.790913642040385
PL62,-155.20000000000013,1404441,-11.050660013485802
PL63,226.60000000000008,2305077,9.830474209755254
PL7,-241.5999999999999,3679410,-6.566270135701102
PL71,-369.79999999999984,2453167,-15.074391592582154
PL72,128.2,1226243,10.454697804595009
PL8,-184.8000000000003,5335503,-3.463590967899377
PL81,-134.60000000000002,2097294,-6.417793594984777
PL82,51.2000000000001,2086135,2.454299458088767
PL84,-101.4,1152074,-8.801517958047834
PL9,645.4,5380311,11.995589102563029
PL91,298.6,3053104,9.780210566033782
PL92,346.8,2327207,14.901983364608306
PT,2220.6,10276617,21.608278288467886
PT1,2195.5999999999985,9779826,22.45029717297627
PT11,1350.6000000000001,3572583,37.804580047545436
PT15,24.400000000000006,438864,5.559808961318314
PT16,224.20000000000005,2216569,10.11473137087093
PT17,596.8000000000001,2846332,20.967336206739063
PT18,-0.4000000000000057,705478,-0.05669914582736891
PT2,6.399999999999984,242846,2.6354150366899125
PT20,6.399999999999984,242846,2.6354150366899125
PT3,-14.199999999999989,253945,-5.591761995707727
PT30,-14.199999999999989,253945,-5.591761995707727
RO,-3279.6000000000004,19414458,-16.89256532425474
RO1,-753.8000000000004,4870384,-15.477219044740629
RO11,-589.0000000000002,2552112,-23.078924435918182
RO12,-164.8,2318272,-7.108743063799244
RO2,-671.9999999999998,5594735,-12.011292760068168
RO21,-213.39999999999986,3198564,-6.671743945095358
RO22,-458.6,2396171,-19.138867802005784
RO3,-543.6000000000004,5245005,-10.364146459345614
RO31,-720.0000000000002,2929832,-24.574787905927717
RO32,176.4000000000002,2315173,7.619301019837403
RO4,-1310.2000000000005,3704334,-35.369380838768876
RO41,-715.2000000000003,1926860,-37.11738268478251
RO42,-595.0000000000001,1777474,-33.47446995005272
RS,-869.9999999999998,6963764,-12.493243596422852
RS1,-2.60000000000025,3548830,-0.073263582645555
RS11,601.9999999999999,1691919,35.58089955843039
RS12,-604.5999999999998,1856911,-32.5594495374307
RS2,-867.3999999999996,3414934,-25.400198071177936
RS21,-356.6,1916855,-18.603389406084446
RS22,-510.80000000000007,1498079,-34.09700022495476
SE,4169.6,10230185,40.75781620762479
