geo,pop,1-27,1-27_ratio,28-52,28-52_ratio
EL5,3074204,818.8000000000001,26.634536940294144,3495.2000000000003,113.69447180473385
EL51,599723,284.19999999999993,47.38854437798783,677.0,112.88544878218778
EL52,1873777,464.40000000000003,24.784165885268102,2346.7999999999997,125.24435938748313
EL53,267008,79.39999999999998,29.736936720997114,271.0,101.49508628954936
EL54,333696,-9.19999999999996,-2.75700038358265,200.39999999999998,60.05466052934407
EL6,2708105,372.4,13.751313187634896,993.2000000000002,36.67509199237106
EL61,718640,185.59999999999997,25.826561282422347,631.4000000000001,87.86040298341312
EL62,203869,-20.999999999999986,-10.300732333017764,19.000000000000007,9.319710206063702
EL63,655189,197.1999999999999,30.098185409095684,73.80000000000008,11.263925371152459
EL64,555960,-6.999999999999986,-1.2590833872940472,127.19999999999997,22.879343837686157
EL65,574447,17.600000000000023,3.0638161571041405,141.79999999999998,24.684609720304916
ES,46937060,41381.6,88.16402220335061,33292.59999999999,70.930305391944
ES1,4304287,138.0,3.2061059125471885,2864.399999999999,66.54760707174032
ES11,2700441,-330.0000000000001,-12.22022625193441,1090.7999999999997,40.39340241093954
ES12,1022205,341.19999999999993,33.37882323017398,1512.2000000000003,147.93510108050737
ES13,581641,126.80000000000003,21.80038889968211,262.4,45.11373854319073
ES2,4461983,2944.2,65.98411513445927,3894.6000000000004,87.2840618173579
ES21,2177880,1289.4,59.20436387679762,1166.0000000000002,53.53830330413063
ES22,649946,572.9999999999998,88.16117031261055,383.2,58.95874426490816
ES23,313571,369.00000000000006,117.67669841917781,289.0,92.16413507626662
ES24,1320586,713.7999999999997,54.05176186935192,2056.4,155.718749100778
ES3,6641649,16415.600000000002,247.16151064291415,2955.8,44.5040079654917
ES30,6641649,16415.600000000002,247.16151064291415,2955.8,44.5040079654917
ES4,5508034,9560.400000000001,173.57191331789167,5703.4000000000015,103.5469279964503
ES41,2407733,4229.200000000001,175.65070545612826,3339.4000000000005,138.6947805259138
ES42,2034877,4659.999999999999,229.00647066137165,1531.4,75.25761999373918
ES43,1065424,671.2000000000003,62.998393127994134,832.5999999999999,78.14729159470782
ES5,13729620,11491.2,83.69641694380472,9613.2,70.01796116716996
ES51,7566431,10411.6,137.60252356758426,5966.599999999999,78.85620049928427
ES52,4974969,1224.7999999999997,24.619248883761884,3169.199999999999,63.702909505566744
ES53,1188220,-145.2,-12.219959266802444,484.4,40.76686135564121
ES6,10084586,668.0000000000002,6.623970483270213,7563.000000000002,74.99564186373145
ES61,8427405,504.1999999999998,5.982861865544611,6534.8,77.5422564834608
ES62,1487663,82.40000000000003,5.538888847810292,900.4000000000001,60.5244601768008
ES63,84829,59.4,70.0232231901826,52.00000000000001,61.299791344941006
ES64,84689,21.0,24.796608768553178,69.8,82.41920438309579
ES7,2206901,163.19999999999987,7.394985094483163,687.2000000000002,31.138687236083545
ES70,2206901,163.19999999999987,7.394985094483163,687.2000000000002,31.138687236083545
FI,5517919,185.80000000000018,3.3672114432995515,786.6000000000001,14.255374172763322
FI1,5488130,198.0000000000001,3.6077862587074305,757.5999999999999,13.804337725236099
FI19,1379749,-74.6,-5.406780508628743,55.60000000000002,4.029718448790325
FI1B,1671024,541.1999999999999,32.38732657340648,224.20000000000005,13.416922797039422
FI1C,1152719,-139.60000000000008,-12.110497007510077,152.2000000000001,13.203564788990215
FI1D,1284638,-129.00000000000006,-10.041739384947359,325.59999999999997,25.345661579370997
FI2,29789,-12.2,-40.95471482762093,29.000000000000007,97.35137131155798
FI20,29789,-12.2,-40.95471482762093,29.000000000000007,97.35137131155798
FR,67012883,23090.0,34.45606123228574,38828.0,57.94109768415724
FR1,12244807,10831.6,88.45872376755305,3578.400000000001,29.223817084254584
FR10,12244807,10833.199999999999,88.47179053128399,3581.3999999999996,29.24831726625009
